Event Name,Date,Location,Type,Region,Website,Latitude,Longitude
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/aryana-leon/,-13.248885,-41.0275842
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/colorworks/,47.6523876,-122.3538541520202
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/dar-williams/,N/A,N/A
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/deb-perelman/,47.6090191,-122.32993774092222
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,https://visitseattle.org/events/emanuel-brown/,-38.1828956,176.2929559
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/james-miles/,47.6090191,-122.32993774092222
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,https://visitseattle.org/events/madeline-pendleton/,47.6146657,-122.319677
October London,1/25/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/october-london/,47.6085136,-122.3394726
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers/,47.38765995,-122.24000381780328
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,https://visitseattle.org/events/dungeons-and-drag-queens/,47.6146474,-122.3490734
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,https://visitseattle.org/events/global-rhythms-yungchen-lhamo/,47.6090191,-122.32993774092222
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/harlem-globetrotters-2024-world-tour/,47.38765995,-122.24000381780328
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-st-louis-blues/,47.6219014,-122.353990491486
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/shelf-nunny/,-13.248885,-41.0275842
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/super-diamond-the-neil-diamond-tribute-band/,47.6085136,-122.3394726
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/the-disorderlies-2/,47.5524903,-122.33389967462686
Compania Nacional de Danza,Now through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,https://visitseattle.org/events/compania-nacional-de-danza/,N/A,N/A
Metropolis,Now through 1/27/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/metropolis/,47.60811665,-122.33697040702705
Andy Coe Band,Now through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andy-coe-band/,47.6523876,-122.3538541520202
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/harlem-globetrotters/,47.6219014,-122.353990491486
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-everett-silvertips-2/,47.38765995,-122.24000381780328
The Budos Band,1/27/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-budos-band/,47.6085136,-122.3394726
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-human-family/,44.43358325,26.079138268508792
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/steinunn-porarinsdottir-wayfinders/,47.6683615,-122.39177949359151
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/hanako-oleary-izanami/,47.60719095,-122.32405377084555
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,https://visitseattle.org/events/gage-alumni-show/,28.1110963,-80.6740045
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,https://visitseattle.org/events/bohemia/,47.6086439,-122.337685
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/lee-ritenour-and-dave-grusin/,47.6148163,-122.339691
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/celebrate-asia/,47.60811665,-122.33697040702705
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/family-day-with-birds-connect-seattle/,47.6683615,-122.39177949359151
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-columbus-blue-jackets/,47.6219014,-122.353990491486
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-san-diego-sockers-3/,47.38765995,-122.24000381780328
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/adira-sharkey/,47.6657081,-122.38280295082915
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/car-the-garden/,47.6146474,-122.3490734
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/cheryl-wheeler/,47.6086439,-122.337685
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/giantish/,41.7111625,-93.6318959
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-prince-george-cougars-2/,47.38765995,-122.24000381780328
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/a-political-rocks/,47.6565246,-122.31173279895636
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/sophia-al-maria/,47.6565246,-122.31173279895636
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/jahari-stampley/,47.6148163,-122.339691
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/fraktured-home-of-the-broken-beat/,41.7111625,-93.6318959
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/g3-25th-anniversary-reunion/,42.2896932,-83.7207314
JP Saxe,1/31/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jp-saxe/,47.6085136,-122.3394726
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/los-lobos/,47.6086439,-122.337685
BabyTron,2/1/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/babytron/,47.6085136,-122.3394726
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/catalyzing-change-with-akuyea-karen-vargas/,47.6251322,-122.51453295865404
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/jamila-woods/,47.613954,-122.3196108
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/jazz-is-dead-blue-note-85/,N/A,N/A
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/michelle-cann/,N/A,N/A
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/pakt/,43.6576535,-72.2840663
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/erik-walters/,-13.248885,-41.0275842
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/memoir/,47.60811665,-122.33697040702705
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/nora-en-pure/,47.5880461,-122.333928
Poolside,2/2/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/poolside/,47.6085136,-122.3394726
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-monterrey-flash/,47.38765995,-122.24000381780328
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/jaha-koo-the-history-of-korean-western-theatre/,50.2622955,-5.0548053
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-winds-medley-of-emotions/,47.60811665,-122.33697040702705
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/all-will-suffer/,43.6576535,-72.2840663
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/cold-war-kids-20-years-tour/,42.2896932,-83.7207314
Mau P,2/3/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/mau-p/,47.6085136,-122.3394726
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/randy-rainbow-for-president/,40.8697559,-73.42561952873208
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,https://visitseattle.org/events/the-delta-bombers/,-5.2464353,-78.9699948
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/seattle-chamber-music-winter-festival/,47.60811665,-122.33697040702705
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-emperor-concerto/,47.60811665,-122.33697040702705
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/sergio-mendes/,47.6148163,-122.339691
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/daniel-tigers-neighborhood/,40.8697559,-73.42561952873208
Lil Skies,2/4/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lil-skies/,47.6085136,-122.3394726
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/criminal/,42.2896932,-83.7207314
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/neck-deep/,47.5880461,-122.333928
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/kazu-kibuishi-with-donna-barba-higuera/,47.6090191,-122.32993774092222
Night Lovell,2/6/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/night-lovell/,47.6085136,-122.3394726
Soja,2/6/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/soja/,N/A,N/A
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/kenny-barron-trio/,47.6148163,-122.339691
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/tamara-payne-the-life-and-legacy-of-malcolm-x/,47.6090191,-122.32993774092222
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/the-kills/,47.5880461,-122.333928
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/an-evening-with-tina-campt-black-feminist-visual-culture/,47.6090191,-122.32993774092222
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/art-and-transformation/,47.6251322,-122.51453295865404
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/eric-bellinger/,47.6085136,-122.3394726
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/futurebirds-and-nude-party/,N/A,N/A
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/ilana-glazer-live/,42.2896932,-83.7207314
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/mister-blank/,47.6523876,-122.3538541520202
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/the-thorn/,40.8697559,-73.42561952873208
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/barry-cant-swim/,47.613954,-122.3196108
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/dark-star-orchestra/,47.6085136,-122.3394726
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/govt-mule/,42.2896932,-83.7207314
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/mayer-hawthorne/,N/A,N/A
Moontricks,2/9/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/moontricks/,47.6146474,-122.3490734
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/oboe-oboe/,47.622554,-122.3386578
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/seattle-boat-show/,47.5953459,-122.33164431196111
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/randall-goosby-plays-mozart/,47.60811665,-122.33697040702705
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,https://visitseattle.org/events/art-by-design/,47.55148885,-122.32828666347223
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/brazilian-carnaval-2024/,47.6146474,-122.3490734
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/chase-rice/,47.5880461,-122.333928
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/joe-mr-d-dombrowski/,42.2896932,-83.7207314
JVNA,2/10/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jvna/,47.6085136,-122.3394726
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/the-temptations-the-four-tops/,40.8697559,-73.42561952873208
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/quixote-nuevo/,47.6145597,-122.3285576
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/kent-stowells-swan-lake/,47.62397705,-122.35038850536958
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/blood-sweat-and-tears/,47.6148163,-122.339691
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,https://visitseattle.org/events/love-at-the-zoo/,47.3049439,-122.52137750626918
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/scott-bradlees-postmodern-jukebox/,40.8697559,-73.42561952873208
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/tourist-and-amtrac/,47.6085136,-122.3394726
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/eliades-ochoa/,42.2896932,-83.7207314
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/k-wayne-yang/,47.6090191,-122.32993774092222
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/maddie-zahm/,N/A,N/A
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/cory-wong-winter-2024-tour/,40.8697559,-73.42561952873208
Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,https://visitseattle.org/events/circahumans-2-0/,N/A,N/A
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/jon-batiste/,40.8697559,-73.42561952873208
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tobymac-hits-deep-2024/,47.38765995,-122.24000381780328
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/a-case-for-the-existence-of-god/,47.6108495,-122.3323262
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/northwest-flower-garden-festival/,47.61175385,-122.33156275066185
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-princess-bride-in-concert-with-the-seattle-symphony/,47.60811665,-122.33697040702705
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/mindi-abair-wine-and-jazz-tour-2024/,47.6148163,-122.339691
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/madonna/,47.6219014,-122.353990491486
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/meet-the-author-maggie-taft-the-chieftain-and-the-chair/,47.6683615,-122.39177949359151
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-detroit-red-wings/,47.6219014,-122.353990491486
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/from-mozart-to-matthews/,47.60811665,-122.33697040702705
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lukas-nelson/,47.6085136,-122.3394726
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,https://visitseattle.org/events/mahogany-smartfilms-black-luxury/,47.6251322,-122.51453295865404
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/wu-han-philip-setzer-david-finckel/,N/A,N/A
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/the-cookers/,47.6148163,-122.339691
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/side-by-side-with-seattle-youth-symphony-orchestra/,47.60811665,-122.33697040702705
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vancouver-canucks/,47.6219014,-122.353990491486
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/funky-friday-with-f2d/,47.6615049,-122.332319
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/blackstar-symphony-the-music-of-david-bowie/,47.60811665,-122.33697040702705
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/opera-talk-the-making-of-x/,44.43358325,26.079138268508792
Wreckno,2/23/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/wreckno/,47.6085136,-122.3394726
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/kelly-akashi/,47.6565246,-122.31173279895636
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lower-depths/,47.61467195,-122.3217419
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dan-brown-wild-symphony/,47.60811665,-122.33697040702705
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/pink-sweat/,47.6085136,-122.3394726
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-minnesota-wild-2/,47.6219014,-122.353990491486
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/small-island-big-song/,N/A,N/A
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,https://visitseattle.org/events/born-with-teeth/,N/A,N/A
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/once-more-just-for-you/,47.6821341,-122.3398325
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,https://visitseattle.org/events/wintergrass-music-festival/,47.618258,-122.20116
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-boston-bruins/,47.6219014,-122.353990491486
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/hunt-for-sleeping-giants-national-geographic-live/,47.60811665,-122.33697040702705
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/playboi-carti/,47.6219014,-122.353990491486
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/winter-brilliance/,47.6205296,-122.35020712496446
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,https://visitseattle.org/events/seattle-museum-month/,47.5989361,-122.3279543
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-pittsburgh-penguins/,47.6219014,-122.353990491486
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,https://visitseattle.org/events/the-human-family-2/,47.6012977,-122.30982515103054
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/fall-out-boy/,47.6219014,-122.353990491486
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat/,47.38765995,-122.24000381780328
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/conrad-taos-playlist/,47.60811665,-122.33697040702705
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-edmonton-oilers/,47.6219014,-122.353990491486
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/emerald-city-comic-con/,47.61175385,-122.33156275066185
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat-2/,47.38765995,-122.24000381780328
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/calidore-quartet-abeo-quartet/,47.622554,-122.3386578
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/holding-movement/,47.60811665,-122.33697040702705
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-winnipeg-jets/,47.6219014,-122.353990491486
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/xthe-life-and-times-of-malcolm-x/,47.62397705,-122.35038850536958
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/bach-st-john-passion/,47.60811665,-122.33697040702705
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/helene-grimaud/,N/A,N/A
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,https://visitseattle.org/events/positive-fragmentation/,-21.266983,55.4113864
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/antonio-m-gomez-lineajes/,47.60719095,-122.32405377084555
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/soren-solkaer-sort-sol/,47.6683615,-122.39177949359151
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/luchadora/,47.6204553,-122.35225726215312
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/wild-cats-revealed-national-geographic-live/,47.60811665,-122.33697040702705
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vegas-golden-knights/,47.6219014,-122.353990491486
